Khassen, Y.:32
Perkins, J. S.:41
Saxon, D. B.:21
Arlen, T.:26
Skole, C.:14
Nelson, T.:11
Majumdar, P.:32
Lee, K.:8
Bouvier, A.:31
Cannon, A.:16
Dickherber, R.:20
Ruppel, J.:13
Krawczynski, H.:37
Collins-Hughes, E.:27
Imran, A.:5
de Bhroithe, A. O'Faolain:10
Ward, J. E.:21
Hughes, G.:54
Galante, N.:40
Tesic, G.:20
Cesarini, A.:27
Tsurusaki, K.:17
Karlsson, N.:19
Theiling, M.:32
Welsing, R.:30
Orr, M.:23
Gall, D.:25
Finnegan, G.:19
Thibadeau, S.:18
Schroedter, M.:18
Huan, H.:14
Vivier, M.:16
Chechkin, Aleksei V.:59
Sokolov, Igor M.:18
Lomholt, Michael A.:6
Cotton, Fabrice Pierre:46
Kühn, Nicolas:6
Delavaud, Elise:5
Beauval, Celine:4
Bernhardt, Rita:9
Wollenberger, Ursula:121
Bistolas, Nikitas:7
Koetz, Joachim:144
Tiersch, Brigitte:42
Stiba, Konstanze:6
Neumann, Bettina:6
Frasca, Stefano:7
Weidinger, Inez M.:10
Rojas, Oscar:6
Kalko, Elisabeth K. V.:7
Pfeiffer, Simone:5
Bonkowski, Michael:3
Oelmann, Yvonne:13
Renner, Swen:2
Schöning, Ingo:14
Näther, Astrid:2
Hemp, Andreas:14
Weinert, Jan:3
Alt, Fabian:8
Polle, Andrea:3
Overmann, Jörg:8
Linsenmair, Karl Eduard:7
Weisser, Wolfgang W.:28
Lohaus, Gertrud:2
Fischer, Markus:93
Gockel, Sonja:9
Wells, Konstans:7
Asrat, Asfawossen:6
Schäbitz, Frank:6
Rethemeyer, Janet:2
Junginger, Annett:10
Lamb, Henry F.:4
Förster, Verena:2
Hille, Jacques:3
Toneva, Valentina:5
Gechev, Tsanko S.:10
Mehterov, Nikolay:4
Wurzbacher, Christian:11
Salka, Ivette:6
Girbig, Dorothee:2
Herbert, Beate M.:13
Schweigert, Florian J.:137
Raila, Jens:74
Weber, Michael H.:37
Ritter, O.:3
Ryberg, T.:2
Schulze, A.:3
Bauer, Klaus:8
Haberland, Christian:22
Koch, Olaf:2
Träger, Juliane:3
Wilke, Franziska Daniela Helena:8
Stockli, Daniel F.:8
O'Brien, Patrick J.:32
Sobel, Edward R.:49
Haddad, David E.:2
Arrowsmith, J. Ramon:4
Zielke, Olaf:3
Landgraf, Angela:21
Brietzke, Thomas Martin:6
Mickler, Wulfhard:46
Carlsohn, Anja:16
Scharhag-Rosenberger, Friederike:9
Schulz, Burkhard:108
Sarac, A. Sezai:3
Gilsing, Hans-Detlev:4
Schewe, Jacob:11
Levermann, Anders:69
Caviglia, Claudia:2
Emneus, Jenny:3
Comminges, Clement:2
Carminati, Marco:2
Seyfried, Markus:19
Kallmeyer, Jens:21
Smith, David C.:3
Adhikari, Rishi Ram:5
D'Hondt, Steven:4
Pockalny, Robert:3
Schuler, Benjamin:16
Hofmann, Hagen:3
Gast, Klaus:28
Soranno, Andrea:2
Borgia, Alessandro:2
Nettels, Daniel:4
Klamroth, Tillmann:57
Dokic, Jadranka:8
Zenichowski, Karl:8
Zaikin, Alexei:4
Zakharova, A.:2
Krause, Ulrike:2
Ketmaier, Valerio:28
Sammler, Svenja:3
Gorum, Tolga:4
van Westen, Cees J.:3
Bonnet, Stephane:2
Andermann, Christoff:9
Jaccard, Samuel L.:3
Haug, Gerald H.:28
Studer, Anja S.:2
Martinez-Garcia, Alfredo:3
Sigman, Daniel M.:13
Schippers, Jos H. M.:14
Dijkwel, Paul P.:7
Hüfner, Klaus:7
Krajewski, Markus:5
Volger, Helmut:9
Weiß, Norman:169
Winkelmann, Ingo:3
Sucharipa, Ernst:2
Ehrhart, Wolfgang:2
Wüstenhagen, Axel:2
Bergmann, Stephan:2
Bauer, Steffen:2
Sand, Peter H.:2
Fues, Thomas:2
Lederer, Markus:21
Obser, Andreas:8
Hedrich, Klaus-Jürgen:2
Schurer, Stefanie:2
