Strukturbereich Kognitionswissenschaften;Institut für Biochemie und Biologie;7
Strukturbereich Kognitionswissenschaften;Institut für Ernährungswissenschaft;6
Strukturbereich Kognitionswissenschaften;Strukturbereich Bildungswissenschaften;2
Strukturbereich Kognitionswissenschaften;Humanwissenschaftliche Fakultät;25
Strukturbereich Kognitionswissenschaften;Institut für Chemie;1
Strukturbereich Kognitionswissenschaften;Extern;41
Institut für Jüdische Studien und Religionswissenschaft;Institut für Romanistik;3
Institut für Jüdische Studien und Religionswissenschaft;Institut für Germanistik;2
Institut für Jüdische Studien und Religionswissenschaft;Philosophische Fakultät;16
Institut für Jüdische Studien und Religionswissenschaft;Historisches Institut;3
Institut für Jüdische Studien und Religionswissenschaft;Sozialwissenschaften;1
Institut für Jüdische Studien und Religionswissenschaft;Institut für Chemie;1
Akademie für Psychotherapie und Interventionsforschung GmbH;Department Psychologie;1
Akademie für Psychotherapie und Interventionsforschung GmbH;Extern;1
Lehreinheit für Wirtschafts-Arbeit-Technik;Institut für Mathematik;1
Lehreinheit für Wirtschafts-Arbeit-Technik;Department Psychologie;2
Lehreinheit für Wirtschafts-Arbeit-Technik;Institut für Physik und Astronomie;2
Lehreinheit für Wirtschafts-Arbeit-Technik;Zentrum für Lehrerbildung und Bildungsforschung (ZeLB);1
Lehreinheit für Wirtschafts-Arbeit-Technik;Strukturbereich Bildungswissenschaften;1
Lehreinheit für Wirtschafts-Arbeit-Technik;Institut für Chemie;1
Lehreinheit für Wirtschafts-Arbeit-Technik;Extern;2
Interdisziplinäres Zentrum für Dünne Organische und Biochemische Schichten;Institut für Physik und Astronomie;32
Interdisziplinäres Zentrum für Dünne Organische und Biochemische Schichten;Institut für Biochemie und Biologie;10
Interdisziplinäres Zentrum für Dünne Organische und Biochemische Schichten;Institut für Chemie;16
An-Institute;Fachgruppe Politik- & Verwaltungswissenschaft;9
An-Institute;WeltTrends e.V. Potsdam;18
An-Institute;Kommunalwissenschaftliches Institut;2
An-Institute;Fachgruppe Betriebswirtschaftslehre;1
An-Institute;Wirtschaftswissenschaften;7
An-Institute;Sozialwissenschaften;16
Fachgruppe Soziologie;Department Psychologie;2
Fachgruppe Soziologie;Hasso-Plattner-Institut für Digital Engineering GmbH;1
Fachgruppe Soziologie;Department für Inklusionspädagogik;1
Fachgruppe Soziologie;Fakultät für Gesundheitswissenschaften;1
Fachgruppe Soziologie;Institut für Germanistik;1
Fachgruppe Soziologie;Department Grundschulpädagogik;1
Fachgruppe Soziologie;Philosophische Fakultät;1
Fachgruppe Soziologie;Zentrum für Lehrerbildung und Bildungsforschung (ZeLB);1
Fachgruppe Soziologie;Strukturbereich Bildungswissenschaften;1
Fachgruppe Soziologie;Humanwissenschaftliche Fakultät;2
Fachgruppe Soziologie;Extern;1
Fachgruppe Politik- & Verwaltungswissenschaft;WeltTrends e.V. Potsdam;5
Fachgruppe Politik- & Verwaltungswissenschaft;Bürgerliches Recht;1
Fachgruppe Politik- & Verwaltungswissenschaft;Kommunalwissenschaftliches Institut;2
Fachgruppe Politik- & Verwaltungswissenschaft;Juristische Fakultät;1
Fachgruppe Politik- & Verwaltungswissenschaft;Wirtschaftswissenschaften;6
Fachgruppe Politik- & Verwaltungswissenschaft;MenschenRechtsZentrum;1
Fachgruppe Politik- & Verwaltungswissenschaft;Öffentliches Recht;1
Fachgruppe Politik- & Verwaltungswissenschaft;Sozialwissenschaften;9
Institut für Mathematik;Department Psychologie;11
Institut für Mathematik;Hasso-Plattner-Institut für Digital Engineering gGmbH;2
Institut für Mathematik;Hasso-Plattner-Institut für Digital Engineering GmbH;2
Institut für Mathematik;Mathematisch-Naturwissenschaftliche Fakultät;3
Institut für Mathematik;Institut für Geowissenschaften;20
Institut für Mathematik;Wirtschaftswissenschaften;1
Institut für Mathematik;Institut für Physik und Astronomie;23
Institut für Mathematik;Institut für Umweltwissenschaften und Geographie;5
Institut für Mathematik;Institut für Romanistik;1
Institut für Mathematik;Philosophische Fakultät;1
Institut für Mathematik;Institut für Biochemie und Biologie;5
Institut für Mathematik;Institut für Ernährungswissenschaft;1
Institut für Mathematik;Strukturbereich Bildungswissenschaften;1
Institut für Mathematik;Humanwissenschaftliche Fakultät;2
Institut für Mathematik;Institut für Chemie;6
Institut für Mathematik;Extern;5
WeltTrends e.V. Potsdam;Kommunalwissenschaftliches Institut;2
WeltTrends e.V. Potsdam;Wirtschaftswissenschaften;3
WeltTrends e.V. Potsdam;Sozialwissenschaften;8
Wirtschafts- und Sozialwissenschaftliche Fakultät;Fachgruppe Betriebswirtschaftslehre;5
Wirtschafts- und Sozialwissenschaftliche Fakultät;Wirtschaftswissenschaften;8
Wirtschafts- und Sozialwissenschaftliche Fakultät;Sozialwissenschaften;1
Wirtschafts- und Sozialwissenschaftliche Fakultät;Extern;4
Fachgruppe Volkswirtschaftslehre;Kommunalwissenschaftliches Institut;1
Fachgruppe Volkswirtschaftslehre;Fachgruppe Betriebswirtschaftslehre;1
Fachgruppe Volkswirtschaftslehre;Wirtschaftswissenschaften;1
Fachgruppe Volkswirtschaftslehre;Sozialwissenschaften;1
Department Psychologie;Interdisziplinäres Zentrum für Dynamik komplexer Systeme;8
Department Psychologie;Hasso-Plattner-Institut für Digital Engineering GmbH;3
Department Psychologie;Mathematisch-Naturwissenschaftliche Fakultät;1
Department Psychologie;Gesundheitsmanagement;1
Department Psychologie;Institut für Geowissenschaften;12
Department Psychologie;Institut für Physik und Astronomie;28
Department Psychologie;Institut für Umweltwissenschaften und Geographie;3
Department Psychologie;Institut für Romanistik;1
Department Psychologie;Fakultät für Gesundheitswissenschaften;4
Department Psychologie;Department Grundschulpädagogik;1
Department Psychologie;Philosophische Fakultät;5
Department Psychologie;Institut für Biochemie und Biologie;15
Department Psychologie;Institut für Ernährungswissenschaft;8
Department Psychologie;Zentrum für Lern- und Lehrforschung;1
Department Psychologie;Strukturbereich Bildungswissenschaften;2
Department Psychologie;Humanwissenschaftliche Fakultät;14
Department Psychologie;Institut für Chemie;3
Department Psychologie;Extern;23
Bürgerliches Recht;Institut für Geowissenschaften;1
Bürgerliches Recht;Juristische Fakultät;4
Bürgerliches Recht;Wirtschaftswissenschaften;2
Bürgerliches Recht;MenschenRechtsZentrum;5
Bürgerliches Recht;Öffentliches Recht;13
Hasso-Plattner-Institut für Digital Engineering gGmbH;Hasso-Plattner-Institut für Digital Engineering GmbH;2
Kommunalwissenschaftliches Institut;Fachgruppe Betriebswirtschaftslehre;1
Kommunalwissenschaftliches Institut;Wirtschaftswissenschaften;4
Kommunalwissenschaftliches Institut;Sozialwissenschaften;4
Interdisziplinäres Zentrum für Dynamik komplexer Systeme;Institut für Geowissenschaften;23
Interdisziplinäres Zentrum für Dynamik komplexer Systeme;Institut für Physik und Astronomie;41
Interdisziplinäres Zentrum für Dynamik komplexer Systeme;Institut für Umweltwissenschaften und Geographie;3
Interdisziplinäres Zentrum für Dynamik komplexer Systeme;Institut für Biochemie und Biologie;6
Hasso-Plattner-Institut für Digital Engineering GmbH;Fakultät für Gesundheitswissenschaften;1
Hasso-Plattner-Institut für Digital Engineering GmbH;Humanwissenschaftliche Fakultät;3
Hasso-Plattner-Institut für Digital Engineering GmbH;Extern;3
Fachgruppe Betriebswirtschaftslehre;Wirtschaftswissenschaften;7
Fachgruppe Betriebswirtschaftslehre;Sozialwissenschaften;3
Fachgruppe Betriebswirtschaftslehre;Extern;4
Mathematisch-Naturwissenschaftliche Fakultät;Interdisziplinäres Zentrum für Biopolymere;1
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Geowissenschaften;12
Mathematisch-Naturwissenschaftliche Fakultät;Wirtschaftswissenschaften;1
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Physik und Astronomie;23
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Umweltwissenschaften und Geographie;5
Mathematisch-Naturwissenschaftliche Fakultät;Fakultät für Gesundheitswissenschaften;1
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Biochemie und Biologie;22
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Ernährungswissenschaft;4
Mathematisch-Naturwissenschaftliche Fakultät;Institut für Chemie;23
Mathematisch-Naturwissenschaftliche Fakultät;Extern;3
Gesundheitsmanagement;Institut für Physik und Astronomie;1
Gesundheitsmanagement;Fakultät für Gesundheitswissenschaften;1
Gesundheitsmanagement;Institut für Biochemie und Biologie;1
Gesundheitsmanagement;Institut für Ernährungswissenschaft;1
Gesundheitsmanagement;Humanwissenschaftliche Fakultät;1
Gesundheitsmanagement;Extern;1
Department für Inklusionspädagogik;Institut für Germanistik;1
Department für Inklusionspädagogik;Department Grundschulpädagogik;1
Interdisziplinäres Zentrum für Biopolymere;Institut für Physik und Astronomie;1
Interdisziplinäres Zentrum für Biopolymere;Institut für Umweltwissenschaften und Geographie;1
Interdisziplinäres Zentrum für Biopolymere;Institut für Biochemie und Biologie;6
Interdisziplinäres Zentrum für Biopolymere;Institut für Ernährungswissenschaft;1
Interdisziplinäres Zentrum für Biopolymere;Institut für Chemie;7
Institut für Geowissenschaften;Juristische Fakultät;1
Institut für Geowissenschaften;Wirtschaftswissenschaften;1
Institut für Geowissenschaften;Institut für Physik und Astronomie;90
Institut für Geowissenschaften;Institut für Umweltwissenschaften und Geographie;112
Institut für Geowissenschaften;MenschenRechtsZentrum;1
Institut für Geowissenschaften;Öffentliches Recht;1
Institut für Geowissenschaften;Institut für Biochemie und Biologie;92
Institut für Geowissenschaften;Institut für Ernährungswissenschaft;9
Institut für Geowissenschaften;Institut für Chemie;20
Institut für Geowissenschaften;Extern;13
Juristische Fakultät;Wirtschaftswissenschaften;2
Juristische Fakultät;MenschenRechtsZentrum;4
Juristische Fakultät;Öffentliches Recht;4
Wirtschaftswissenschaften;MenschenRechtsZentrum;2
Wirtschaftswissenschaften;Institut für Germanistik;1
Wirtschaftswissenschaften;Öffentliches Recht;2
Wirtschaftswissenschaften;Philosophische Fakultät;1
Wirtschaftswissenschaften;Institut für Anglistik und Amerikanistik;1
Wirtschaftswissenschaften;Institut für Biochemie und Biologie;2
Wirtschaftswissenschaften;Sozialwissenschaften;38
Wirtschaftswissenschaften;Institut für Chemie;1
Wirtschaftswissenschaften;Extern;4
Institut für Physik und Astronomie;Institut für Umweltwissenschaften und Geographie;23
Institut für Physik und Astronomie;Fakultät für Gesundheitswissenschaften;2
Institut für Physik und Astronomie;Philosophische Fakultät;1
Institut für Physik und Astronomie;Institut für Biochemie und Biologie;68
Institut für Physik und Astronomie;Institut für Ernährungswissenschaft;5
Institut für Physik und Astronomie;Humanwissenschaftliche Fakultät;1
Institut für Physik und Astronomie;Institut für Chemie;149
Institut für Physik und Astronomie;Extern;11
Institut für Umweltwissenschaften und Geographie;Institut für Biochemie und Biologie;19
Institut für Umweltwissenschaften und Geographie;Institut für Ernährungswissenschaft;1
Institut für Umweltwissenschaften und Geographie;Institut für Chemie;7
Institut für Umweltwissenschaften und Geographie;Extern;16
Institut für Romanistik;Institut für Germanistik;2
Institut für Romanistik;Philosophische Fakultät;4
Institut für Romanistik;Historisches Institut;1
Institut für Romanistik;Strukturbereich Bildungswissenschaften;1
Institut für Romanistik;Humanwissenschaftliche Fakultät;1
Institut für Romanistik;Institut für Chemie;1
Institut für Romanistik;Extern;1
MenschenRechtsZentrum;Öffentliches Recht;8
Fakultät für Gesundheitswissenschaften;Institut für Biochemie und Biologie;5
Fakultät für Gesundheitswissenschaften;Institut für Ernährungswissenschaft;4
Fakultät für Gesundheitswissenschaften;Humanwissenschaftliche Fakultät;6
Fakultät für Gesundheitswissenschaften;Institut für Chemie;1
Fakultät für Gesundheitswissenschaften;Extern;5
Institut für Germanistik;Department Grundschulpädagogik;1
Institut für Germanistik;Philosophische Fakultät;3
Institut für Germanistik;Historisches Institut;2
Institut für Germanistik;Institut für Biochemie und Biologie;1
Institut für Germanistik;Sozialwissenschaften;1
Institut für Germanistik;Institut für Ernährungswissenschaft;1
Institut für Germanistik;Institut für Chemie;1
Department Grundschulpädagogik;Zentrum für Lern- und Lehrforschung;3
Philosophische Fakultät;Institut für Biochemie und Biologie;1
Philosophische Fakultät;Institut für Ernährungswissenschaft;2
Philosophische Fakultät;Humanwissenschaftliche Fakultät;2
Philosophische Fakultät;Institut für Chemie;1
Philosophische Fakultät;Extern;3
Historisches Institut;Sozialwissenschaften;1
Institut für Anglistik und Amerikanistik;Sozialwissenschaften;1
Institut für Biochemie und Biologie;Institut für Ernährungswissenschaft;60
Institut für Biochemie und Biologie;Humanwissenschaftliche Fakultät;6
Institut für Biochemie und Biologie;Institut für Chemie;148
Institut für Biochemie und Biologie;Extern;12
Sozialwissenschaften;Extern;1
Institut für Ernährungswissenschaft;Humanwissenschaftliche Fakultät;5
Institut für Ernährungswissenschaft;Institut für Chemie;32
Institut für Ernährungswissenschaft;Extern;5
Zentrum für Lehrerbildung und Bildungsforschung (ZeLB);Strukturbereich Bildungswissenschaften;2
Strukturbereich Bildungswissenschaften;Humanwissenschaftliche Fakultät;1
Strukturbereich Bildungswissenschaften;Extern;1
Humanwissenschaftliche Fakultät;Extern;18
Institut für Chemie;Extern;7
